Argument ID	Text	Labels
A05059	We should cancel pride parades against pride parades can show everyone that we tolerate everyone	[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0]
A05064	We should abolish zoos against zoos do a lot of conservation work and have successfully bred animals which were on the verge of extinction.	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]
A05068	We should ban targeted killing against targeted killing should not be banned because it means that dangerous people can be stopped from injuring other people.	[0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]
A05069	We should adopt a multi-party system against the two-party system is cheaper and easier to operate that any multi-party system	[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]
A05075	We should adopt an austerity regime against people should not have to endure higher taxes to pay for the government's inefficiency.	[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0]
A05077	We should subsidize journalism against We should not subsidize journalism because there is already sufficient coverage of major issues from different viewpoints without government action.	[0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
A05080	We should ban telemarketing against We should not ban telemarketing as it it allows people to learn about new products or services from the comfort of their own homes.	[1, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
A05081	We should abolish capital punishment against We should not abolish capital punishment because if the criminal done with their time in jail they may commit far more serious crime again because some criminal cannot be rehabilitated	[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0]
A05089	We should ban missionary work against missionary work is beneficial for those receiving aid.	[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0]
A05091	We should fight for the abolition of nuclear weapons against Nuclear weapons can bring about a certain level of respect	[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
A05095	We should abolish the three-strikes laws against we need the three strikes as a deterrent	[0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]
A05096	We should prohibit school prayer against a non-denominational school prayer is about as bad as reciting the pledge of allegiance in school, and should be allowed.	[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0]
A05098	We should limit executive compensation against We should not limit executive compensation as they should get the salary equal to their contribution to the organisation.	[0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]
A06002	We should end the use of economic sanctions against economic sanctions are often a proportional punishment	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1]
A06005	We should end mandatory retirement against Mandatory retirement lets companies more easily make space for new workers that have more of an incentive to work hard at a new job.	[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
A06020	We should cancel pride parades against pride marches are a crucial part of gay visibility and the fight for equality. ensuring that the fight against injustice continues, especially in countries where homosexuality is still a criminal offense.	[0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0]
A07001	We should cancel pride parades against pride parades allow people to make connections and widen their social circles.	[0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1]
A07010	We should legalize prostitution against it sets a bad example for younger generation and takes them away from the ethics of the society	[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0]
A07011	We should subsidize space exploration against there are much more important things to spend money on; space exploration is a low priority and should not be subsidized	[0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1]
A07019	We should end mandatory retirement against Setting a mandatory retirement age allows for the younger generations to move up the ladder and to better support their own families.	[0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0]
A07021	We should adopt an austerity regime against austerity only leads to economic contraction that endangers the chance of reducing the debt.	[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
A07031	We should abolish intellectual property rights against we cannot abolish intellectual property rights because artists and scientists need to have their ideas and innovations protected so that they can earn a living in their fields	[0, 1, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
A07034	We should legalize cannabis against cannabis especially the skunk variety can be very harmful to people and can lead on to them using harder drugs so therefore it should be illegal.	[0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0]
A07037	We should ban fast food against we all have the right to eat what we want, to prohibit a specific type of food is an abuse of power	[1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0]
A07045	We should subsidize Wikipedia against there is no need to subsidize a site that isn't necessary	[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]
A07046	We should adopt libertarianism against We should not adopt libertarianism because we need the government to provide essential services that are unprofitable.	[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]
A07047	We should subsidize student loans against a person's education should be the responsibility of themselves	[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0]
A07049	We should abolish the right to keep and bear arms against the right to keep and bear arms is protected by our government and should be like that so people can defend their self.	[0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0]
A07051	We should cancel pride parades against we should continue to support pride parades because everyone has the right to do what they want as long as it does not harm others.	[1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0]
A07053	We should ban algorithmic trading against we should continue to support algorithmic trading as it gives orders a jump start rather than waiting until the complete order has been produced.	[0, 1, 0, 0, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]
A07055	We should abandon the use of school uniform against school uniforms are a good way to keep our kids from looking too sexualized from what they wear	[0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0]
A07057	We should legalize sex selection against gender selection is essentially playing god.	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0]
A07061	We should abolish the right to keep and bear arms against the right to bear arms is a fundamental right since the creation of  this country, and should be protected.	[0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]
A07062	We should stop the development of autonomous cars against the number of fatalities that can be prevented with autonomous cars makes the development a moral imperative.	[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0]
A07063	We should adopt a multi-party system against adopting a multi-party system leads to the formation weak and unstable coalition governments	[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]
A07066	We should ban the use of child actors against not all tv and movies is going to be adults only we need child actors to shows the world as it is	[1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]
A07067	We should limit judicial activism against judicial activism allows for common sense to be applied where necessary	[0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1]
A07068	We should limit executive compensation against executives provide profits to shareholders and should be compensated accordingly	[0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
A07069	We should subsidize embryonic stem cell research against it is against certain religious beliefs and can be seen as immoral	[0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0]
A07073	We should ban the use of child actors against we should not ban the use of child actors because we would not have the shows and movies that are otherwise available.	[0, 1, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1]
A07075	We should ban cosmetic surgery for minors against We should not ban cosmetic surgery for minors because there are legitimate cases when it would improve a young person's mental health.	[0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]
A07080	We should abolish the three-strikes laws against if someone hasn't learned by the first two chances then they aren't going to stop committing crimes. it makes more sense to lock them away than to let them keep committing crimes against the population.	[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 1, 0, 0, 1]
A07082	We should adopt libertarianism against we should not adopt libertarianism because it will allow people to take advantage of the freedoms and eventually infringe on other people's freedoms.	[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0]
A07087	We should introduce compulsory voting against every individual should be able to choose whether or not they want to vote	[1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]
A07089	We should ban telemarketing against banning telemarketing has no approval anywhere as customers will not be able to see new products available to buy.	[1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
A07091	We should ban targeted killing against targetted killing could potentially help reduce the number of crimes if terrorists are killed before they can cause more harm	[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]
A07093	We should ban human cloning against though it may sound awful, human cloning can provide perfect matches for organ transplants and prolong the lives of people.	[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]
A07095	We should oppose collectivism against supporting collectivism is important because groups value is most important in the society which we live today.	[0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]
A07097	We should ban whaling against whaling is an important part of the diet, tradition and economies of many countries, and it is not our place to dictate terms as outsiders to their culture.	[0, 1, 0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 1, 0, 1, 1]
A08003	We should ban the Church of Scientology against people have to right to their own religious beliefs, no matter how odd others find it	[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0]
A08009	We should abolish the right to keep and bear arms against the right to carry firearms is a legal deterrent for politicians with tyrannical or dictatorial tendencies	[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]
A08014	We should end mandatory retirement against Without a mandatory retirement age available to the employer, dismissal procedures would be likely to begin earlier	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1]
A08016	We should legalize cannabis against we should not legalize cannabis then more children will get a hold of it	[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
A09003	We should ban the use of child actors against we must not prohibit the use of child actors because it goes against the right to work. children under the supervision of their parents can develop their artistic talent without affecting their personal growth	[1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0]
A09004	We should ban fast food against fast food is great when you need a quick meal on the run and it is more nutritious than snacking on chocolate bars or unhealthy snacks.	[0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
A09005	We should ban the Church of Scientology against people should be allowed to join any club, cult, religious group they want.  the government should not have a say in what an individual wants to participate in.	[0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 1]
A09006	We should abolish the right to keep and bear arms against we shouldn't abolish the right to keep and bear arms because it can help stop mass shootings if everyone has a gun	[0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0]
A09007	We should adopt gender-neutral language against language changes cannot be legislated, they evolve spontaneously over time. if people want to use gender-neutral language, it will slowly become part of their vocabulary	[1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0]
A09008	We should ban algorithmic trading against if people want to use it then it is their choice	[1, 1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
A09009	We should legalize organ trade against we should not legalize organ trade because then people would be selling their organs just for money	[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0]
A09012	We should fight for the abolition of nuclear weapons against we need to keep our country safe and protected	[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0]
A09013	We should stop the development of autonomous cars against autonomous cars offer the opportunity for people  to spend more time on the things they enjoy doing during their commute rather than having to concentrate.	[0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0]
A09015	We should adopt libertarianism against libertarianism doesn't account for obvious public needs that are better served through collective action rather than each individual competing for resources.	[1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0]
A09018	We should adopt atheism against we should not adopt atheism because organized religion instills good morals into people.	[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0]
A09024	We should ban whaling against if people can get food and other products from whaling that helps sustain them, then it shouldn't be banned.	[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
A09026	We should abolish intellectual property rights against intellectual property rights enable people to benefit from what they worked so hard to achieve.	[1, 0, 0, 0, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]
A09027	We should adopt an austerity regime against we should not adopt an austerity regime because people would end up with less money to pay the same amount of bills with.	[0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
A09035	We should abolish the Olympic Games against The Olympic games provides jobs and is a boost for the economy in the host country.	[0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0]
A09036	We should ban factory farming against factory farming helps to produce meat at a lower cost thus enabling those on a lower income to be able to purchase meats.	[0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]
A09037	We should prohibit school prayer against in today's hectic fast-paced society, it is freeing to take time to sit quietly and pray. it should be encouraged in our schools.	[0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]
A09039	We should ban missionary work against we should not ban missionary work because people have a right to help out others if they chose to do so	[0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 1, 0]
A09042	We should adopt a zero-tolerance policy in schools against the zero-tolerance policy is not a good thing at all , kids getting punished for their actions and humiliated in front of a audience is really not the great thing to do.	[0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]
A09045	We should end the use of economic sanctions against economic sanctions can be very effective in bringing about social change	[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]
A09053	We should stop the development of autonomous cars against autonomous cars can make trips more relaxing and help the traveler arrive refreshed and happy.  it can also eliminate road rage.	[0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]
A09060	We should abolish the Olympic Games against The Olympic Games allow for countries around the world to compete in friendly competition and is a healthy outlet for national pride.	[0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0]
A09061	We should adopt atheism against freedom to choose what someone believes in is a right	[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]
A09063	We should abandon the use of school uniform against researchers found that in schools across the world with uniform policies students are more disciplined and concentrated	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]
A09070	We should fight for the abolition of nuclear weapons against they serve as a deterant for any rogue dictator to strike an enemy	[0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]
A09072	We should subsidize journalism against state subsidy of journalism would threaten the independence and objectivity of any such reporting. what journalist is going to bite the hand that feeds them?	[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0]
A09073	We should abolish zoos against Zoos are a great and cheap way for children to learn about animals from all over the world.	[0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]
A09076	We should ban cosmetic surgery against Cosmetic surgery is important to repair damaged skin or member of people involved in an accident. This will help them regain confidence and live their life fully	[0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]
A09077	We should legalize sex selection against sex selection can lead to an over abundance of a favored gender in society	[0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0]
A09079	We should abolish intellectual property rights against a person uses his imagination and hard work to write as book or music.  they should be able to benefit from their work.  it should not be in the public domain.	[1, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]
A09080	We should cancel pride parades against pride parades are a platforms for minority groups to spread awareness about discrimination and abuse	[1, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0]
A09085	We should subsidize embryonic stem cell research against we should not subsidize embryonic stem cell research because it can harm life of a person once it is not done successfully	[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0]
A09086	We should ban algorithmic trading against algorithmic trading provides people with more opportunities when it comes to trading.	[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]
A09096	We should subsidize space exploration against space exploration is a waste of money that could be used to feed people	[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0]
A09097	We should abolish the right to keep and bear arms against people have a right to be able to defend themselves  and their loved ones	[0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]
A10004	We should subsidize journalism against aren't subsidies opening the door for manipulating journalists and inducing media bias in favor of the government?	[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]
A10007	We should ban cosmetic surgery for minors against minors should be allowed to have cosmetic surgery as long as their parents help make the decision. some cosmetic surgery would make a child with a deformity have better self esteem.	[0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
A10009	We should legalize cannabis against Despite the propaganda, marijuana is actually more addictive than alcohol, the latter of which can be occasionally.	[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]
A10012	We should abolish zoos against they should not abolish zoos since many are in danger of extinction, which need strategic places for scientific study or the collection of funds to finance projects.	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]
