Argument ID	Self-direction: thought	Self-direction: action	Stimulation	Hedonism	Achievement	Power: dominance	Power: resources	Face	Security: personal	Security: societal	Tradition	Conformity: rules	Conformity: interpersonal	Humility	Benevolence: caring	Benevolence: dependability	Universalism: concern	Universalism: nature	Universalism: tolerance	Universalism: objectivity
F01110	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F01111	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F01112	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F01113	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F01114	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F01115	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F01116	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F01117	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F01118	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F01119	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F01120	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F01121	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F01122	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F01123	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0
F01125	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F01126	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F01127	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F01128	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F01129	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F01130	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F01131	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F01132	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F01133	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F01134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F01135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F01136	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F01137	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F01138	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F01140	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F01141	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
F01142	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
F01143	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F01144	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F01145	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F01146	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F01147	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F01148	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
F01149	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
F01150	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
F01151	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F01152	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F01153	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
F01154	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F01156	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
F01157	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
F01158	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F01159	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
F01160	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F01161	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F01162	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F01163	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
F01164	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F01165	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
F01166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F01167	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
F01168	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F01169	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F01170	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F01171	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0
F01172	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
F01173	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F01174	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F01175	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F01176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F01177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F01178	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F01179	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F01180	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0
F01181	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F01182	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
F01183	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F01184	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F01185	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F01186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F01187	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F01188	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F01189	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0
F01190	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F01191	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F01192	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F01193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F01194	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
F01195	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F01196	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F01197	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F01198	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F01199	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0
F01201	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0
F01202	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F01203	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F01204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F01205	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F01206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F01208	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F01209	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F01210	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0
F01211	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F01212	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F01213	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
F01214	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0
F01216	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
F01217	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F01218	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0
F01219	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F01220	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F01221	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F01222	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F01223	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
F01224	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F01225	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F01226	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F01227	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
F01228	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F01229	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F01230	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F01231	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F01232	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F01233	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F01234	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F01235	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F01236	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F01237	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F01238	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F01239	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F01240	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F01241	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F01242	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F01243	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F01244	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
F01245	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F01247	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F01248	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F01249	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F01250	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F01251	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F01252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F01253	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F01254	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
F01255	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
F01257	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F01258	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F01259	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F01260	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F01261	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F01262	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F01263	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F01264	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0
F01265	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F01266	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
F01267	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F01269	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0
F01270	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0
F01271	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
F01272	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
F01273	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0
F01274	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F01275	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
F01276	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F01277	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F01278	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F01279	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
F01280	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F01281	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
F01282	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F01283	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F01284	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F01285	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F01286	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F01287	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
F01288	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F01289	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
F01290	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F01291	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F01292	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F01293	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F01294	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F01295	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F01297	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F01298	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F01299	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0
F01300	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
