Argument ID	Self-direction: thought	Self-direction: action	Stimulation	Hedonism	Achievement	Power: dominance	Power: resources	Face	Security: personal	Security: societal	Tradition	Conformity: rules	Conformity: interpersonal	Humility	Benevolence: caring	Benevolence: dependability	Universalism: concern	Universalism: nature	Universalism: tolerance	Universalism: objectivity	Type
A03009	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	train
A03010	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	train
A03011	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	train
A03012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	train
A03013	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	train
A03015	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	train
A03016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	train
A03017	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	train
A03019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	train
A04001	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	train
A04002	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	train
A04003	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	train
A04004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	train
A04006	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	train
A04007	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	train
A04008	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	1	0	train
A04009	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	train
A04010	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	train
A04011	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	train
A04013	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	train
A04014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	train
A04016	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	train
A04017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	train
A04018	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	train
A04020	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	train
A05001	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	train
A05003	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	train
A05005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	train
A05006	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	train
A05012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	train
A05013	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	train
A05014	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	train
A05015	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	train
A05016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	train
A05017	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	train
A05018	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	train
A05021	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	train
A05022	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	1	0	1	0	train
A05023	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	train
A05027	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	train
A05028	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	train
A05031	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	train
A05033	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	train
A05034	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	train
A05036	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	train
A05039	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	train
A05040	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	train
A05041	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	train
A05042	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	train
A05044	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	train
A05045	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	train
A05047	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	train
A05048	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	train
A05049	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	train
A05050	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	train
A05052	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	train
A05053	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	1	1	0	0	1	train
A05054	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	train
A05057	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	train
A05058	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	train
A05059	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	train
A05063	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	train
A05064	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	train
A05067	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	train
A05068	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	train
A05069	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	train
A05070	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	train
A05071	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	train
A05073	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	train
A05074	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	train
A05075	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	train
A05076	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	train
A05077	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	train
A05080	1	0	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	train
A05081	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	1	0	0	0	train
A05082	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	train
A05083	0	0	0	1	1	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	train
A05086	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	train
A05087	0	1	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	train
A05088	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	train
A05089	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	1	0	0	0	train
A05090	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	train
A05091	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	train
A05092	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	train
A05093	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	train
A05095	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	train
A05096	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	train
A05097	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	train
A05098	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	train
A05099	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	train
A06002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	train
A06003	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	train
A06004	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	train
A06005	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	train
A06008	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	train
A06010	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	train
A06011	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	train
A06015	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	train
A06017	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	train
A06019	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	train
A06020	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	1	0	train
A07001	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	1	0	1	1	train
A07006	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	train
A07007	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	train
A07008	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	1	0	0	0	train
A07009	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	train
A07010	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	1	0	0	0	0	train
A07011	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	1	0	0	0	1	train
A07012	1	1	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	1	1	train
A07014	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	1	train
A07016	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	1	0	0	train
A07018	1	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	train
A07019	0	0	0	0	1	0	1	0	1	0	0	1	0	0	1	0	0	0	0	0	train
A07020	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	1	0	train
A07021	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	train
A07022	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	1	1	train
A07023	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	train
A07025	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	1	0	0	1	train
A07026	1	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	1	train
A07031	0	1	0	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	train
A07032	0	1	0	1	0	0	1	0	1	1	0	1	0	0	0	0	0	0	1	0	train
A07033	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	train
A07034	0	1	0	1	0	0	0	0	1	1	0	1	0	0	0	1	0	0	0	0	train
A07036	1	1	0	0	0	1	0	0	0	0	0	1	0	0	1	0	1	0	1	1	train
A07037	1	1	1	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	train
A07038	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	train
A07039	1	1	0	0	0	0	0	1	0	0	1	1	1	0	0	0	1	0	0	0	train
A07043	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	1	0	0	1	0	train
A07044	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	train
A07045	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	train
A07046	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	train
A07047	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	train
A07049	0	1	0	0	0	1	0	0	0	1	1	0	0	0	1	0	0	0	0	0	train
A07050	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	train
A07051	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	train
A07053	0	1	0	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	train
A07054	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	train
A07055	0	0	0	0	0	0	0	1	0	1	1	1	0	1	0	0	0	0	0	0	train
A07057	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	train
A07058	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	train
A07059	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	1	1	0	0	0	train
A07060	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	train
A07061	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	train
A07062	0	0	0	0	0	0	0	0	1	1	0	1	0	0	1	1	1	0	0	0	train
A07063	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	train
A07066	1	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	train
A07067	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	1	0	1	1	train
A07068	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	train
A07069	0	0	0	0	0	0	0	1	0	1	1	1	0	0	0	0	0	0	0	0	train
A07072	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	1	1	train
A07073	0	1	0	1	1	0	0	0	1	0	0	0	0	1	0	0	0	0	1	1	train
A07074	1	1	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	train
A07075	0	1	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	train
A07076	0	0	0	0	0	1	0	0	1	1	0	1	1	0	0	0	1	0	0	0	train
A07077	0	0	0	0	0	0	1	0	1	1	0	0	0	0	1	1	0	0	0	0	train
A07079	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	train
A07080	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	1	0	0	1	train
A07082	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	1	0	0	0	train
A07084	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	train
A07087	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	train
A07089	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	train
A07091	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	train
A07092	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	train
A07093	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	train
A07094	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	train
A07095	0	0	0	0	1	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	train
A07096	1	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	train
A07097	0	1	0	0	0	1	1	0	1	0	1	0	1	0	0	0	1	0	1	1	train
A07098	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	train
A08001	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	train
A08003	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	train
A08005	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	train
A08006	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	1	train
A08007	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	train
A08009	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	train
A08011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	train
A08012	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	train
A08013	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	train
A08014	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	train
A08016	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	train
A08018	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	train
A08019	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	train
A08020	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	train
A09001	0	0	0	0	1	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	train
A09002	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	train
A09003	1	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	train
A09004	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	train
A09005	0	1	1	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	1	1	train
A09006	0	0	0	0	1	0	0	0	0	1	1	0	0	0	1	1	0	0	0	0	train
A09007	1	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	train
A09008	1	1	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	train
A09009	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	1	0	0	1	0	train
A09010	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	1	1	0	0	1	train
A09011	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	0	0	0	train
A09012	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	1	0	0	train
A09013	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	train
A09014	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	1	0	train
A09015	1	0	1	0	0	0	0	0	1	1	0	1	1	0	0	0	1	0	0	0	train
A09017	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	train
A09018	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	1	0	train
A09021	0	0	0	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	train
A09022	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	train
A09023	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	train
A09024	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	train
A09025	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	train
A09026	1	0	0	0	1	1	1	0	1	0	0	0	0	0	0	0	1	0	0	0	train
A09027	0	1	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	train
A09028	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	1	0	train
A09029	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	train
A09030	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	train
A09031	0	0	0	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	train
A09033	0	1	0	0	1	0	1	0	1	1	0	0	0	1	0	1	0	0	0	0	train
A09035	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	train
A09036	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	train
A09037	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	train
A09038	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	1	1	0	0	0	train
A09039	0	1	1	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	1	0	train
A09040	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	1	0	0	0	train
A09042	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	train
A09043	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	train
A09045	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	train
A09046	0	1	0	0	0	0	1	1	0	0	0	0	1	0	0	0	1	0	0	0	train
A09048	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	train
A09051	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	train
A09053	0	0	1	1	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	train
A09058	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	1	0	1	train
A09060	0	0	1	0	1	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	train
A09061	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	train
A09062	0	0	0	0	1	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	train
A09063	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	train
A09064	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	train
A09067	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	1	0	0	0	train
A09069	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	train
A09070	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	train
A09071	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	1	train
A09072	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	train
A09073	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	train
A09076	0	0	0	1	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	train
A09077	0	0	0	0	0	1	0	1	0	1	0	0	0	1	0	0	1	0	0	0	train
A09079	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	train
A09080	1	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	1	0	1	0	train
A09082	0	0	1	0	0	0	0	0	1	1	0	0	0	0	1	0	1	1	0	0	train
A09083	0	0	0	0	0	0	0	0	1	0	0	1	1	0	1	0	0	0	0	0	train
A09085	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	train
A09086	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	train
A09089	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	train
A09091	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	train
A09093	0	0	1	0	1	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	train
A09094	0	1	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	train
A09096	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	1	1	0	0	0	train
A09097	0	1	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	train
A09098	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	train
A09100	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	train
A10002	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	train
A10003	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	1	0	0	0	train
A10004	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	train
A10005	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	train
A10007	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	train
A10009	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	train
A10011	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	train
A10012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	train
